,Temp,P.Aire.Prom,P.Aire.Max,P.Aire.Min,P.Vapor.Prom,P.Vapor.Max,P.Vapor.Min,Hum.Rel.Prom,Hum.Rel.Max,Hum.Rel.Min,C.Vapor.Prom,C.Vapor.Max,C.Vapor.Min,D.Aire.Prom,D.Aire.Max,D.Aire.Min,D.Vapor.Prom,D.Vapor.Max,D.Vapor.Min,Temp.Prom,Temp.Max,Temp.Min
1486,-7.73,985.5057142857144,992.74,976.49,5.11571428571426,6.99,3.12,96.35714285714282,99.9,91.15,5.197142857142844,7.15,3.14,1264.9599999999987,1301.37,1233.51,53.609999999999864,102.18,30.27,-2.242857142857083,1.88,-7.73
1348,12.77,992.1200000000006,998.66,986.86,15.08571428571427,16.52,12.69,70.77714285714278,86.41,57.62,15.2,16.56,12.82,1176.4042857142842,1200.56,1160.45,170.03857142857126,233.55,129.62,19.01714285714291,22.21,12.77
887,9.67,987.0842857142864,989.93,982.07,10.93571428571428,13.4,8.53,76.40857142857134,92.01,61.79,11.084285714285723,13.56,8.63,1199.095714285714,1214.97,1186.35,210.35428571428523,262.17,133.5,12.450000000000037,16.33,9.33
1754,17.63,986.5085714285714,995.21,980.96,13.271428571428558,14.87,11.56,83.03714285714295,90.37,73.67,13.454285714285698,15.02,11.78,1190.5071428571407,1208.76,1179.09,195.9671428571425,211.13,174.58,14.084285714285803,17.63,11.7
1134,0.21,977.294285714286,985.39,973.03,5.941428571428569,7.09,4.87,82.88285714285713,86.48,78.75,6.080000000000003,7.27,4.96,1234.0014285714278,1248.34,1218.7,227.26571428571398,264.3,204.58,2.1171428571428828,4.79,0.11
223,17.05,987.9657142857141,990.17,981.59,14.567142857142855,15.69,13.71,77.09285714285708,92.62,66.59,14.742857142857146,15.88,13.86,1179.9871428571435,1191.81,1173.85,199.2399999999998,237.57,175.64,16.927142857142886,18.9,14.04
920,19.87,987.8800000000008,993.49,984.05,17.700000000000003,20.29,15.3,79.6285714285713,89.34,69.95,17.92285714285715,20.59,15.41,1168.865714285714,1187.45,1161.15,138.6028571428567,207.97,76.68,19.302857142857174,21.14,16.61
147,12.83,987.1171428571427,996.9,981.94,11.789999999999996,13.5,9.83,75.54285714285712,82.63,68.6,11.941428571428569,13.71,10.01,1192.9785714285717,1205.23,1178.81,190.28142857142848,227.97,104.06,13.830000000000014,16.79,10.89
1668,17.85,987.4528571428572,990.88,982.98,17.17999999999997,20.79,14.64,66.14285714285725,84.15,52.07,17.405714285714268,21.15,14.81,1156.6571428571401,1174.71,1139.63,111.63999999999965,155.44,74.76,22.35714285714292,25.96,17.85
181,22.53,991.2785714285712,993.43,988.51,13.845714285714278,15.77,12.03,59.292857142857066,66.57,54.78,13.969999999999999,15.92,12.14,1170.2871428571432,1180.52,1160.12,131.25428571428554,172.99,106.58,20.438571428571446,22.53,18.28
1635,14.92,991.5814285714288,993.25,988.77,11.391428571428538,12.03,10.24,68.76000000000012,77.27,63.42,11.48857142857141,12.12,10.34,1194.4528571428532,1198.15,1188.12,206.4857142857139,261.63,133.77,14.814285714285775,16.76,13.5
113,10.58,988.8714285714287,993.89,986.5,6.160000000000001,7.7,4.68,57.74714285714283,66.83,53.18,6.231428571428568,7.8,4.73,1221.2871428571434,1235.93,1207.42,159.42999999999986,261.42,98.88,8.342857142857156,10.74,4.95
1148,-4.44,993.6157142857147,997.15,988.09,5.082857142857139,6.28,3.77,86.5185714285714,93.38,77.25,5.115714285714288,6.31,3.79,1267.889999999999,1286.96,1257.4,107.635714285714,172.13,31.42,-0.6714285714285461,1.35,-4.44
569,13.12,979.2842857142865,981.9,976.19,12.195714285714283,14.59,9.53,69.73857142857138,83.92,62.69,12.457142857142856,14.88,9.71,1176.2471428571455,1190.52,1163.58,203.39714285714254,256.1,107.43,15.541428571428607,17.99,13.12
1271,15.4,988.031428571429,991.77,984.77,17.38428571428571,23.8,12.1,69.45428571428569,79.01,63.76,17.601428571428567,24.12,12.2,1163.1614285714275,1191.84,1133.43,178.59428571428558,246.89,98.5,20.888571428571463,27.53,15.4
1624,22.42,990.844285714286,994.87,984.71,15.769999999999966,21.32,9.63,62.21857142857153,77.27,53.14,15.91142857142855,21.5,9.72,1164.9857142857113,1187.97,1148.94,158.1071428571425,205.92,105.66,21.47142857142863,25.13,15.66
197,25.12,987.6742857142857,991.77,983.33,18.269999999999992,20.35,16.84,60.32714285714278,70.43,52.93,18.5,20.63,17.06,1145.918571428571,1158.41,1138.13,177.46142857142837,209.32,128.22,25.085714285714314,27.67,22.0
542,17.67,991.0585714285717,996.86,986.58,12.875714285714283,15.95,10.33,73.40428571428565,83.08,64.49,12.99714285714286,16.17,10.4,1190.4828571428588,1208.97,1175.08,220.1557142857139,249.55,200.0,15.468571428571462,17.67,12.95
1590,13.14,989.5328571428571,995.92,983.31,8.702857142857109,10.82,6.48,71.02857142857151,95.12,60.75,8.80571428571427,10.98,6.51,1213.0371428571405,1237.67,1182.51,148.01857142857116,226.68,28.14,10.17428571428577,15.35,6.27
1680,17.26,987.5200000000003,992.1,983.22,17.119999999999983,20.4,14.25,77.85714285714292,88.17,65.31,17.339999999999986,20.74,14.43,1168.3657142857116,1183.52,1151.72,173.84714285714253,193.12,137.88,19.410000000000064,22.38,17.0
545,20.98,992.9214285714288,996.86,987.96,12.915714285714284,15.0,10.33,66.07142857142851,75.54,56.35,13.010000000000002,15.06,10.4,1184.4128571428591,1208.97,1164.01,186.18571428571389,249.55,112.31,17.54000000000003,21.57,12.95
1044,7.42,984.4200000000009,993.49,975.26,8.15,8.98,7.06,78.62428571428563,82.77,74.29,8.281428571428572,9.2,7.15,1218.3114285714287,1234.87,1204.33,210.10428571428537,232.41,186.3,7.455714285714317,8.37,4.7
1277,13.5,994.3842857142862,998.09,990.9,11.245714285714286,12.75,9.48,74.80714285714282,84.15,66.09,11.311428571428564,12.87,9.5,1204.7985714285703,1217.4,1191.84,231.9542857142856,257.52,196.3,13.155714285714325,15.4,11.43
1089,8.79,987.6128571428575,996.18,980.75,7.5685714285714285,10.01,5.4,93.92571428571425,96.92,89.35,7.66857142857143,10.2,5.47,1239.8857142857141,1259.21,1208.03,157.77999999999972,190.57,48.15,3.5771428571428854,8.79,-0.68
555,21.08,985.9628571428576,988.88,983.15,14.285714285714281,15.7,11.96,75.78428571428567,91.29,59.94,14.48857142857143,15.97,12.16,1177.1514285714309,1200.95,1161.95,205.7957142857139,246.81,143.31,17.1114285714286,21.08,10.94
1559,14.21,985.4328571428572,990.97,978.91,9.914285714285683,10.82,8.91,68.15285714285721,78.73,60.21,10.061428571428554,11.03,9.03,1195.3399999999976,1206.05,1183.29,149.75571428571402,201.5,92.21,13.012857142857202,14.21,10.98
1517,6.66,988.2714285714286,995.92,981.35,6.498571428571401,7.45,5.58,72.26285714285719,78.63,62.77,6.577142857142844,7.59,5.63,1231.6899999999982,1246.9,1220.4,198.0671428571427,211.08,187.94,5.705714285714346,6.66,4.44
664,8.97,992.8285714285722,1001.54,982.72,7.152857142857131,9.11,5.7,80.02428571428563,86.28,74.7,7.210000000000002,9.22,5.7,1238.7885714285733,1264.43,1215.25,170.99428571428535,226.92,117.08,5.361428571428613,8.97,2.17
12,-9.12,986.6985714285717,989.89,983.51,3.185714285714286,3.84,2.73,88.99000000000001,92.4,85.05,3.228571428571428,3.89,2.77,1291.5542857142862,1306.17,1278.59,95.14714285714288,181.51,31.43,-7.324285714285714,-5.18,-9.46
440,4.46,986.5671428571425,991.58,980.52,7.521428571428561,9.42,6.04,74.7599999999999,95.16,63.97,7.618571428571435,9.52,6.13,1222.4414285714302,1232.23,1208.98,151.72428571428537,217.74,38.5,7.221428571428598,9.21,4.46
599,21.15,991.0771428571435,995.13,987.75,15.700000000000001,18.49,12.67,73.48285714285704,81.66,65.9,15.844285714285713,18.64,12.73,1175.9014285714304,1191.62,1159.15,164.60714285714252,228.89,130.17,18.770000000000046,21.85,16.3
1442,0.71,999.378571428572,1007.79,986.24,7.167142857142834,9.78,4.85,86.98285714285714,99.27,73.34,7.162857142857135,9.7,4.92,1253.1599999999987,1272.95,1234.33,219.6542857142856,256.51,185.79,3.9271428571429157,7.86,0.71
902,16.9,991.1314285714294,994.66,987.43,14.584285714285707,18.14,12.1,73.59571428571417,94.05,59.73,14.722857142857153,18.38,12.17,1180.8957142857141,1207.95,1163.89,154.7228571428566,217.08,52.96,17.681428571428608,21.43,11.8
1718,15.05,990.5571428571429,993.64,987.04,15.261428571428556,18.38,12.26,86.62000000000012,98.08,76.07,15.411428571428557,18.62,12.37,1188.7685714285687,1199.07,1172.69,145.60857142857105,213.63,55.59,15.452857142857226,18.33,13.0
396,-6.33,991.3471428571427,997.28,981.78,4.208571428571423,5.73,3.34,86.7871428571428,92.75,82.31,4.250000000000005,5.83,3.35,1278.102857142858,1300.13,1245.09,137.3342857142854,235.19,41.21,-3.338571428571402,0.93,-6.33
1000,16.06,984.657142857144,996.4,975.38,10.267142857142849,12.82,7.99,70.7314285714285,73.12,66.62,10.447142857142852,13.13,8.02,1196.0,1223.56,1170.36,190.31285714285676,224.11,125.89,12.605714285714315,16.06,9.69
775,-0.54,1002.1300000000008,1011.2,985.45,2.7571428571428456,4.9,1.74,80.56428571428567,84.88,71.59,2.764285714285721,4.98,1.73,1319.21142857143,1350.92,1256.99,139.2714285714282,197.82,62.03,-8.654285714285674,-0.54,-13.53
1268,19.23,988.0357142857147,990.04,984.77,17.60285714285714,23.8,12.16,69.37571428571425,79.01,62.8,17.82285714285714,24.12,12.28,1162.029999999999,1182.32,1133.43,150.94714285714272,214.12,71.19,21.164285714285747,27.53,16.82
1103,5.23,997.0042857142861,1002.49,980.64,8.324285714285717,10.07,6.33,85.36428571428571,94.3,72.71,8.344285714285716,10.05,6.36,1238.158571428571,1247.66,1220.09,232.00857142857117,261.91,206.01,6.477142857142884,9.49,4.04
1300,23.77,993.6128571428574,996.49,987.71,14.738571428571424,15.89,13.77,59.87571428571426,70.93,49.66,14.831428571428566,15.95,13.94,1168.3528571428556,1178.83,1153.14,104.18857142857132,118.68,80.99,21.525714285714336,23.77,19.09
305,7.34,988.6614285714287,1000.31,978.27,7.6842857142857115,8.6,6.54,76.22285714285705,84.43,65.62,7.7757142857142885,8.75,6.55,1224.948571428573,1254.12,1205.95,184.82857142857117,234.49,121.9,7.241428571428599,9.2,4.0
1553,10.98,989.8757142857145,995.85,986.43,7.837142857142828,9.07,5.65,74.19428571428577,83.1,64.71,7.914285714285699,9.14,5.72,1222.8642857142834,1242.34,1206.05,108.1885714285712,152.0,49.54,8.084285714285773,10.98,2.92
257,12.81,991.055714285714,996.53,981.34,12.865714285714281,13.56,12.29,81.5671428571428,86.19,77.9,12.981428571428571,13.74,12.33,1196.6785714285725,1205.91,1185.67,200.55142857142843,240.1,163.74,13.967142857142878,15.55,12.81
807,12.8,999.5514285714293,1003.83,989.74,7.735714285714273,8.99,7.01,73.33428571428567,84.2,52.9,7.735714285714289,8.98,7.04,1233.4157142857148,1251.2,1203.13,231.47571428571388,267.44,173.36,8.414285714285755,12.8,5.56
277,11.14,988.1214285714285,993.11,981.07,10.528571428571427,12.12,8.71,84.33571428571422,94.49,79.35,10.655714285714286,12.29,8.78,1209.8200000000018,1225.27,1194.14,164.5214285714284,192.06,111.03,10.247142857142885,13.2,8.18
805,7.58,1003.7042857142864,1008.57,1001.04,7.609999999999987,8.99,5.62,77.88285714285709,84.2,69.34,7.584285714285718,8.98,5.57,1246.265714285715,1265.76,1235.89,234.23999999999958,267.44,173.36,6.6228571428571845,8.05,3.88
226,16.01,989.0499999999996,990.42,986.63,15.244285714285711,16.69,13.71,81.16428571428568,95.09,66.59,15.412857142857147,16.92,13.86,1181.5414285714292,1186.25,1174.1,174.14142857142843,194.51,103.43,16.7814285714286,18.9,15.4
154,15.73,987.2899999999998,993.28,980.27,10.957142857142854,11.96,9.75,77.15142857142855,92.46,61.74,11.102857142857138,12.21,9.92,1198.9214285714293,1208.77,1188.38,191.71428571428564,254.78,83.46,12.55285714285716,15.73,9.17
1324,19.15,992.7328571428576,996.28,989.05,11.985714285714275,14.71,10.51,66.3457142857142,77.22,57.83,12.077142857142855,14.83,10.55,1188.7442857142846,1200.88,1177.77,210.7885714285713,238.13,179.34,16.512857142857197,19.15,14.36
414,-2.98,983.0314285714283,991.76,975.93,5.304285714285706,6.42,4.66,85.30857142857134,95.21,74.23,5.394285714285718,6.51,4.71,1250.1885714285725,1271.73,1231.19,115.05714285714251,175.86,29.01,0.22571428571431248,2.43,-2.98
348,-5.54,989.0042857142855,997.18,977.39,4.647142857142853,6.57,3.26,88.41714285714275,96.51,83.64,4.705714285714289,6.67,3.28,1270.2671428571443,1295.09,1242.01,204.44714285714255,249.92,81.91,-2.371428571428543,2.62,-6.19
1286,20.49,997.9457142857146,1003.4,985.17,15.502857142857138,17.32,13.55,69.9985714285714,77.68,62.66,15.539999999999996,17.31,13.51,1181.3042857142848,1190.29,1168.38,141.8885714285713,237.34,75.1,19.442857142857182,20.49,18.83
366,-0.18,995.7399999999999,998.97,990.25,3.4799999999999947,5.31,1.94,89.72571428571419,93.84,87.63,3.4985714285714336,5.37,1.94,1301.1400000000012,1338.13,1261.19,169.88999999999965,221.95,112.52,-6.815714285714257,-0.18,-13.28
1008,12.81,989.8400000000012,994.9,984.01,10.138571428571426,11.03,8.51,71.83285714285707,74.45,67.5,10.247142857142851,11.22,8.55,1203.052857142857,1219.62,1191.1,193.88571428571387,215.93,155.83,12.42000000000003,14.49,10.16
40,-6.72,985.5785714285713,993.94,979.53,3.9800000000000044,5.53,2.7,82.97285714285712,86.83,73.91,4.035714285714285,5.6,2.76,1272.6171428571429,1290.5,1255.43,124.0985714285714,185.1,54.2,-3.738571428571425,0.38,-7.13
917,19.5,988.3442857142865,993.49,983.78,18.314285714285713,20.94,15.3,76.67142857142845,89.34,63.34,18.538571428571437,21.24,15.41,1164.3471428571427,1187.45,1140.79,135.6299999999995,214.99,76.68,20.54000000000004,25.07,16.61
449,7.78,1004.9014285714284,1010.26,991.66,5.942857142857134,7.32,5.03,69.17285714285705,73.83,63.0,5.921428571428579,7.39,5.0,1255.2842857142866,1272.87,1226.63,158.34428571428543,189.95,102.01,5.195714285714312,7.78,1.9
528,15.4,984.2971428571431,991.55,975.59,13.102857142857138,16.69,9.49,72.5357142857142,83.91,57.7,13.32714285714286,17.05,9.61,1180.1671428571444,1194.05,1157.33,196.0714285714282,243.46,133.26,15.97857142857146,18.73,14.28
328,0.3,981.1428571428569,989.48,972.62,6.57428571428571,7.54,5.66,92.89714285714275,98.36,87.71,6.6957142857142875,7.66,5.8,1239.1400000000015,1250.19,1231.15,175.32285714285686,245.93,95.88,1.9785714285714555,4.39,0.29
260,11.22,989.4271428571426,996.53,982.73,11.797142857142854,13.39,10.11,77.59285714285708,83.98,71.71,11.918571428571429,13.49,10.26,1197.7842857142866,1205.91,1187.44,215.40142857142843,240.1,192.69,13.344285714285737,15.55,11.22
485,12.85,988.9857142857145,993.24,984.26,9.455714285714278,11.12,7.85,69.19857142857134,86.36,49.3,9.562857142857151,11.26,7.93,1203.6471428571444,1220.19,1190.99,87.63714285714254,121.8,52.44,12.097142857142888,14.37,8.91
158,19.36,987.9585714285714,993.28,982.14,12.748571428571422,14.93,10.82,67.62428571428568,88.99,61.74,12.911428571428567,15.15,10.93,1180.6814285714295,1205.32,1160.94,175.01857142857133,241.09,83.46,17.018571428571445,21.03,10.95
997,9.69,989.5485714285725,996.4,984.87,9.988571428571422,13.02,7.99,71.0357142857142,73.12,66.62,10.102857142857136,13.22,8.02,1203.5742857142857,1223.56,1179.06,202.27285714285676,258.85,125.89,12.250000000000028,16.47,9.69
1515,4.47,988.1657142857144,995.92,981.35,6.638571428571401,7.45,6.08,76.88571428571433,80.63,73.93,6.7185714285714155,7.59,6.12,1234.6742857142838,1246.9,1220.4,199.57571428571413,211.08,190.63,4.98000000000006,6.39,3.19
1274,12.36,992.1057142857147,998.09,986.97,12.294285714285712,14.88,9.48,71.28999999999996,84.15,63.76,12.397142857142851,15.07,9.5,1192.7385714285704,1217.4,1169.91,225.7014285714284,257.52,196.3,15.31000000000004,19.23,11.43
846,11.63,974.3028571428582,979.61,967.38,7.665714285714273,8.42,7.18,67.13999999999992,74.24,57.85,7.871428571428581,8.68,7.37,1198.2885714285717,1209.03,1190.07,194.50428571428523,221.04,177.02,9.282857142857182,11.63,7.94
284,5.45,991.0985714285713,995.85,982.52,10.241428571428568,13.17,7.1,80.45285714285707,86.55,70.45,10.335714285714289,13.32,7.17,1213.0385714285735,1235.36,1191.28,142.38999999999976,184.59,98.84,10.428571428571457,13.6,5.45
1716,13.0,989.5,991.77,986.58,15.837142857142842,18.55,12.26,83.22285714285725,89.16,76.07,16.009999999999987,18.8,12.37,1182.3357142857114,1199.07,1165.14,169.20999999999964,213.63,131.5,16.671428571428653,19.77,13.0
53,3.55,970.3442857142855,974.37,967.92,5.3057142857142905,6.85,3.16,80.21142857142854,91.46,72.66,5.468571428571427,7.08,3.25,1231.847142857143,1260.2,1215.8,180.17428571428562,212.53,121.07,0.7557142857142888,3.55,-4.78
86,7.8,985.8128571428572,995.12,979.04,7.884285714285718,8.42,7.28,69.71999999999998,79.54,57.02,8.001428571428567,8.52,7.37,1212.1928571428568,1229.46,1192.9,183.84571428571422,214.69,139.63,9.380000000000008,13.12,7.51
452,4.93,997.1185714285714,1010.26,986.76,6.164285714285704,7.32,5.21,69.46714285714279,78.89,63.0,6.184285714285723,7.39,5.28,1242.7757142857154,1257.05,1226.63,173.8214285714283,227.36,119.27,5.770000000000026,7.78,3.62
1061,6.76,990.955714285715,996.41,983.02,7.905714285714284,8.64,7.25,83.94857142857141,94.42,66.09,7.978571428571427,8.71,7.3,1232.3585714285712,1246.69,1211.49,189.48714285714252,197.67,179.83,6.154285714285742,9.69,3.8
59,3.92,971.9157142857142,979.03,964.43,6.482857142857149,7.3,5.59,74.21285714285715,91.89,56.2,6.67285714285714,7.55,5.71,1213.654285714286,1228.33,1192.19,189.19428571428563,237.59,121.07,5.15714285714286,8.03,2.94
933,13.72,989.4571428571435,995.06,982.09,13.450000000000001,15.35,11.83,73.20285714285706,84.96,64.69,13.594285714285716,15.53,11.89,1184.7142857142856,1201.12,1166.91,224.51428571428534,242.91,180.02,16.32571428571432,19.25,13.72
124,6.55,985.7085714285715,990.67,981.97,9.48285714285714,10.91,5.84,71.30142857142853,86.57,51.19,9.625714285714283,11.09,5.91,1202.1857142857152,1229.29,1174.76,141.62428571428563,216.32,48.99,11.531428571428586,16.88,6.55
525,14.87,984.9328571428574,1001.56,975.59,14.071428571428568,16.69,9.49,67.64857142857133,83.91,51.27,14.305714285714288,17.05,9.61,1171.042857142859,1195.4,1152.7,162.30571428571395,243.46,59.63,18.324285714285743,21.72,14.87
385,-0.73,995.6814285714287,1000.05,985.96,7.197142857142852,10.06,5.13,84.6614285714285,92.33,76.85,7.235714285714292,10.21,5.13,1246.490000000001,1276.3,1208.85,194.53142857142822,250.82,110.71,4.418571428571456,9.88,-0.73
1689,14.84,984.2885714285715,986.49,981.79,14.151428571428559,16.18,11.63,69.1628571428572,79.77,60.37,14.378571428571414,16.44,11.79,1171.038571428569,1185.65,1155.17,207.3685714285711,228.36,175.99,18.111428571428643,21.77,14.84
382,1.73,990.1985714285713,998.55,983.78,7.579999999999994,10.06,5.65,86.37285714285706,96.97,76.85,7.658571428571434,10.21,5.74,1237.2371428571437,1260.67,1208.85,195.66999999999965,220.12,167.56,4.894285714285742,9.88,-0.19
479,14.37,989.8928571428572,995.42,985.88,8.245714285714275,9.54,6.6,55.16714285714277,58.31,49.3,8.334285714285723,9.67,6.63,1198.8471428571445,1221.36,1184.82,109.84714285714254,155.41,56.29,13.702857142857173,15.76,10.17
1739,11.62,998.0414285714285,1001.71,991.84,13.869999999999987,16.03,10.58,82.52285714285726,87.0,76.44,13.8942857142857,16.05,10.67,1200.835714285712,1210.58,1185.06,174.32999999999967,209.93,138.01,14.912857142857233,18.28,11.62
265,13.12,989.9999999999998,995.11,982.73,9.895714285714282,11.51,8.44,74.86142857142853,79.34,71.71,9.992857142857146,11.56,8.53,1207.8914285714295,1218.26,1193.87,207.33428571428564,239.39,183.62,11.338571428571454,13.12,9.18
580,20.54,989.7700000000007,992.37,986.74,14.012857142857142,16.22,12.58,76.93142857142848,88.25,65.41,14.155714285714286,16.4,12.72,1185.0971428571452,1198.06,1166.91,177.04142857142827,256.42,104.3,16.28285714285718,20.54,12.91
1531,6.1,1001.0428571428573,1006.0,991.06,7.007142857142829,7.46,6.49,78.8614285714286,87.41,64.49,6.999999999999985,7.42,6.5,1247.564285714284,1254.16,1235.2,150.962857142857,202.4,123.09,5.712857142857204,8.06,3.57
1189,-0.66,983.6071428571433,989.45,979.24,4.499999999999996,4.93,4.03,76.51428571428572,84.85,69.94,4.5742857142857165,5.04,4.09,1254.0728571428558,1262.76,1244.55,92.33714285714255,208.32,47.18,-0.3942857142856879,0.42,-1.47
1197,10.91,983.2457142857147,993.21,976.11,6.428571428571424,10.05,4.44,76.66714285714286,91.39,60.84,6.545714285714288,10.29,4.52,1232.1142857142845,1259.17,1192.63,150.5971428571426,209.08,75.5,4.251428571428598,10.91,0.42
578,14.94,989.0042857142863,990.83,986.52,12.805714285714284,14.98,11.12,73.07285714285707,88.25,58.14,12.944285714285714,15.12,11.27,1186.364285714288,1198.06,1174.82,176.51714285714255,256.42,104.3,15.875714285714322,19.11,12.91
663,7.66,992.895714285715,1001.54,982.72,6.917142857142845,8.29,5.7,79.7799999999999,86.28,74.7,6.971428571428573,8.43,5.7,1240.637142857145,1264.43,1215.25,175.9785714285711,226.92,117.08,4.980000000000041,7.9,2.17
82,9.71,990.7514285714286,995.98,985.12,8.29428571428572,10.81,5.62,71.55142857142856,83.7,58.8,8.379999999999995,10.96,5.65,1218.17,1234.51,1199.54,184.55142857142852,230.7,139.63,9.35571428571429,11.81,7.41
1557,11.42,985.1528571428572,991.63,978.91,9.475714285714256,10.82,8.52,69.2185714285715,78.73,60.21,9.619999999999981,11.03,8.62,1198.9971428571405,1215.58,1183.29,134.84714285714261,191.52,92.21,12.124285714285774,14.12,10.17
1260,20.6,988.9328571428576,993.72,983.7,14.562857142857139,16.23,12.49,75.78857142857139,91.92,65.43,14.727142857142857,16.41,12.61,1179.8585714285707,1188.45,1165.75,158.12714285714264,200.78,99.6,17.26000000000003,20.6,13.8
608,11.83,987.6357142857149,991.51,980.93,13.037142857142852,18.79,9.12,71.03142857142849,82.42,64.29,13.204285714285712,19.15,9.22,1184.3057142857158,1203.93,1139.3,203.11142857142832,232.3,118.91,16.031428571428616,24.74,11.83
